Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
NaN	NaN	NaN	NaN	551.9	7361.95	286.9	4337.7321	396.9	6787.85	195.9	3899.2917	86.9	8773.125	1119.0	8865
NaN	NaN	NaN	NaN	551.8	7356.35	286.8	4379.8929	396.8	6782.835	195.8	3894.7083	86.8	7790.625	1118.0	9295
NaN	NaN	NaN	NaN	551.7	7406.65	286.7	4402.4821	396.7	6781.515	195.7	3891.875	86.7	7340.625	1117.0	8920
NaN	NaN	NaN	NaN	551.6	7451.925	286.6	4430.9286	396.6	6786.0	195.6	3880.8542	86.6	6836.875	1116.0	8930
NaN	NaN	NaN	NaN	551.5	7440.0	286.5	4450.1429	396.5	6804.01	195.5	3881.0208	86.5	6420.0	1115.0	8610
NaN	NaN	NaN	NaN	551.4	7448.6	286.4	4488.0179	396.4	6789.68	195.4	3883.8542	86.4	6095.625	1114.0	8110
NaN	NaN	NaN	NaN	551.3	7466.25	286.3	4517.2321	396.3	6790.77	195.3	3883.8958	86.3	6124.375	1113.0	8720
NaN	NaN	NaN	NaN	551.2	7474.975	286.2	4536.6964	396.2	6777.69	195.2	3892.75	86.2	6076.25	1112.0	8270
NaN	NaN	NaN	NaN	551.1	7504.9	286.1	4562.8571	396.1	6796.645	195.1	3900.0417	86.1	6133.125	1111.0	8585
NaN	NaN	NaN	NaN	551.0	7540.975	286.0	4582.6786	396.0	6781.105	195.0	3895.2292	86.0	6050.0	1110.0	8850
NaN	NaN	NaN	NaN	550.9	7566.375	285.9	4574.375	395.9	6793.115	NaN	NaN	85.9	6410.0	1109.0	8445
NaN	NaN	NaN	NaN	550.8	7556.725	285.8	4603.0179	395.8	6782.205	NaN	NaN	85.8	6693.75	1108.0	8710
NaN	NaN	NaN	NaN	550.7	7610.625	285.7	4597.8214	395.7	6800.57	NaN	NaN	85.7	7028.125	1107.0	8815
NaN	NaN	NaN	NaN	550.6	7656.6	285.6	4608.6964	395.6	6796.725	NaN	NaN	85.6	7507.5	1106.0	8540
NaN	NaN	NaN	NaN	550.5	7667.375	285.5	4585.8214	395.5	6810.21	NaN	NaN	85.5	8040.0	1105.0	8425
NaN	NaN	NaN	NaN	550.4	7681.775	285.4	4585.1429	395.4	6797.615	NaN	NaN	85.4	8832.5	1104.0	8805
NaN	NaN	NaN	NaN	550.3	7727.3	285.3	4586.6786	395.3	6789.855	NaN	NaN	85.3	9706.875	1103.0	8590
NaN	NaN	NaN	NaN	550.2	7768.025	285.2	4542.5	395.2	6808.155	NaN	NaN	85.2	10549.375	1102.0	8250
NaN	NaN	NaN	NaN	550.1	7735.75	285.1	4495.3929	395.1	6801.865	NaN	NaN	85.1	11435.625	1101.0	8860
NaN	NaN	NaN	NaN	550.0	7784.175	285.0	4487.9643	395.0	6801.805	NaN	NaN	85.0	12792.5	1100.0	8570
NaN	NaN	NaN	NaN	549.9	7811.025	284.9	4449.9107	NaN	NaN	NaN	NaN	84.9	13698.75	1099.0	8645
NaN	NaN	NaN	NaN	549.8	7859.5	284.8	4421.8929	NaN	NaN	NaN	NaN	84.8	14823.75	1098.0	8440
NaN	NaN	NaN	NaN	549.7	7912.675	284.7	4363.0	NaN	NaN	NaN	NaN	84.7	15717.5	1097.0	8670
NaN	NaN	NaN	NaN	549.6	7942.175	284.6	4335.2857	NaN	NaN	NaN	NaN	84.6	16938.75	1096.0	8010
NaN	NaN	NaN	NaN	549.5	7974.675	284.5	4278.6429	NaN	NaN	NaN	NaN	84.5	17965.625	1095.0	8805
NaN	NaN	NaN	NaN	549.4	8016.175	284.4	4236.1429	NaN	NaN	NaN	NaN	84.4	18331.875	1094.0	8440
NaN	NaN	NaN	NaN	549.3	8090.0	284.3	4196.5179	NaN	NaN	NaN	NaN	84.3	18671.875	1093.0	8525
NaN	NaN	NaN	NaN	549.2	8078.0	284.2	4155.0179	NaN	NaN	NaN	NaN	84.2	18605.625	1092.0	8380
NaN	NaN	NaN	NaN	549.1	8157.1	284.1	4127.5893	NaN	NaN	NaN	NaN	84.1	18370.0	1091.0	7925
NaN	NaN	NaN	NaN	549.0	8173.25	284.0	4067.6429	NaN	NaN	NaN	NaN	84.0	17881.25	1090.0	8225
NaN	NaN	NaN	NaN	548.9	8217.675	283.9	4040.5893	NaN	NaN	NaN	NaN	83.9	16976.875	1089.0	8710
NaN	NaN	NaN	NaN	548.8	8254.525	283.8	4008.0	NaN	NaN	NaN	NaN	83.8	15734.375	1088.0	8065
NaN	NaN	NaN	NaN	548.7	8308.425	283.7	3969.1786	NaN	NaN	NaN	NaN	83.7	14471.875	1087.0	7860
NaN	NaN	NaN	NaN	548.6	8357.6	283.6	3963.0357	NaN	NaN	NaN	NaN	83.6	13127.5	1086.0	7860
NaN	NaN	NaN	NaN	548.5	8427.35	283.5	3932.375	NaN	NaN	NaN	NaN	83.5	11670.625	1085.0	8340
NaN	NaN	NaN	NaN	548.4	8483.425	283.4	3922.3929	NaN	NaN	NaN	NaN	83.4	10404.375	1084.0	7720
NaN	NaN	NaN	NaN	548.3	8513.825	283.3	3896.6964	NaN	NaN	NaN	NaN	83.3	9265.0	1083.0	8020
NaN	NaN	NaN	NaN	548.2	8543.1	283.2	3893.7143	NaN	NaN	NaN	NaN	83.2	8026.25	1082.0	8365
NaN	NaN	NaN	NaN	548.1	8573.65	283.1	3883.5	NaN	NaN	NaN	NaN	83.1	7018.75	1081.0	8035
NaN	NaN	NaN	NaN	548.0	8666.55	283.0	3865.1607	NaN	NaN	NaN	NaN	83.0	6266.875	1080.0	7925
NaN	NaN	NaN	NaN	547.9	8687.7	282.9	3867.8214	NaN	NaN	NaN	NaN	82.9	5567.5	1079.0	7805
NaN	NaN	NaN	NaN	547.8	8755.3	282.8	3850.0714	NaN	NaN	NaN	NaN	82.8	5125.625	1078.0	7750
NaN	NaN	NaN	NaN	547.7	8756.125	282.7	3835.1786	NaN	NaN	NaN	NaN	82.7	4593.75	1077.0	7720
NaN	NaN	NaN	NaN	547.6	8798.7	282.6	3853.0893	NaN	NaN	NaN	NaN	82.6	4228.125	1076.0	7910
NaN	NaN	NaN	NaN	547.5	8823.025	282.5	3848.4107	NaN	NaN	NaN	NaN	82.5	3946.25	1075.0	8135
NaN	NaN	NaN	NaN	547.4	8844.75	282.4	3852.75	NaN	NaN	NaN	NaN	82.4	3783.125	1074.0	7660
NaN	NaN	NaN	NaN	547.3	8901.2	282.3	3846.7143	NaN	NaN	NaN	NaN	82.3	3630.625	1073.0	7915
