Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
NaN	NaN	NaN	NaN	548.8	8688.0	283.8	4166.375	NaN	NaN	NaN	NaN	83.8	16745.0	1088.0	8520
NaN	NaN	NaN	NaN	548.7	8754.125	283.7	4139.4375	NaN	NaN	NaN	NaN	83.7	15297.5	1087.0	8875
NaN	NaN	NaN	NaN	548.6	8754.375	283.6	4075.75	NaN	NaN	NaN	NaN	83.6	13710.0	1086.0	8590
NaN	NaN	NaN	NaN	548.5	8788.25	283.5	4060.375	NaN	NaN	NaN	NaN	83.5	12857.5	1085.0	8355
NaN	NaN	NaN	NaN	548.4	8798.375	283.4	4077.3125	NaN	NaN	NaN	NaN	83.4	10881.25	1084.0	8080
NaN	NaN	NaN	NaN	548.3	8917.0	283.3	4036.25	NaN	NaN	NaN	NaN	83.3	9646.25	1083.0	8805
NaN	NaN	NaN	NaN	548.2	8928.75	283.2	3993.4375	NaN	NaN	NaN	NaN	83.2	8440.0	1082.0	8745
NaN	NaN	NaN	NaN	548.1	8934.625	283.1	4006.375	NaN	NaN	NaN	NaN	83.1	7462.5	1081.0	8520
NaN	NaN	NaN	NaN	548.0	8990.5	283.0	3999.0625	NaN	NaN	NaN	NaN	83.0	6513.75	1080.0	7955
NaN	NaN	NaN	NaN	547.9	9043.125	282.9	3971.0625	NaN	NaN	NaN	NaN	82.9	5681.25	1079.0	8210
NaN	NaN	NaN	NaN	547.8	9184.0	282.8	3980.0625	NaN	NaN	NaN	NaN	82.8	5438.75	1078.0	8405
NaN	NaN	NaN	NaN	547.7	9162.75	282.7	3964.125	NaN	NaN	NaN	NaN	82.7	4862.5	1077.0	8205
NaN	NaN	NaN	NaN	547.6	9185.875	282.6	3979.125	NaN	NaN	NaN	NaN	82.6	4568.75	1076.0	8160
NaN	NaN	NaN	NaN	547.5	9229.375	282.5	3980.375	NaN	NaN	NaN	NaN	82.5	4342.5	1075.0	8360
NaN	NaN	NaN	NaN	547.4	9288.5	282.4	3973.875	NaN	NaN	NaN	NaN	82.4	3867.5	1074.0	8630
NaN	NaN	NaN	NaN	547.3	9294.625	282.3	3966.0	NaN	NaN	NaN	NaN	82.3	3740.0	1073.0	8105
NaN	NaN	NaN	NaN	547.2	9326.0	282.2	3948.0625	NaN	NaN	NaN	NaN	82.2	3683.75	1072.0	8210
NaN	NaN	NaN	NaN	547.1	9311.625	282.1	3950.8125	NaN	NaN	NaN	NaN	82.1	3601.25	1071.0	7970
NaN	NaN	NaN	NaN	547.0	9379.0	282.0	3950.6875	NaN	NaN	NaN	NaN	82.0	3290.0	1070.0	8470
NaN	NaN	NaN	NaN	546.9	9379.125	281.9	3938.6875	NaN	NaN	NaN	NaN	81.9	3146.25	1069.0	8230
NaN	NaN	NaN	NaN	546.8	9436.75	281.8	3935.875	NaN	NaN	NaN	NaN	81.8	3246.25	1068.0	8310
NaN	NaN	NaN	NaN	546.7	9353.125	281.7	3937.125	NaN	NaN	NaN	NaN	81.7	3196.25	1067.0	8520
NaN	NaN	NaN	NaN	546.6	9405.875	281.6	3946.6875	NaN	NaN	NaN	NaN	81.6	3055.0	1066.0	8310
NaN	NaN	NaN	NaN	546.5	9431.5	281.5	3940.9375	NaN	NaN	NaN	NaN	81.5	2968.75	1065.0	8155
NaN	NaN	NaN	NaN	546.4	9387.25	281.4	3928.75	NaN	NaN	NaN	NaN	81.4	3046.25	1064.0	8200
NaN	NaN	NaN	NaN	546.3	9294.25	281.3	3920.375	NaN	NaN	NaN	NaN	81.3	2816.25	1063.0	8460
NaN	NaN	NaN	NaN	546.2	9362.5	281.2	3937.625	NaN	NaN	NaN	NaN	81.2	2978.75	1062.0	8080
NaN	NaN	NaN	NaN	546.1	9316.625	281.1	3939.375	NaN	NaN	NaN	NaN	81.1	2803.75	1061.0	7885
NaN	NaN	NaN	NaN	546.0	9215.375	281.0	3911.25	NaN	NaN	NaN	NaN	81.0	2841.25	1060.0	7635
NaN	NaN	NaN	NaN	545.9	9191.625	280.9	3941.25	NaN	NaN	NaN	NaN	80.9	2778.75	1059.0	8525
NaN	NaN	NaN	NaN	545.8	9190.0	280.8	3938.6875	NaN	NaN	NaN	NaN	80.8	2793.75	1058.0	8070
NaN	NaN	NaN	NaN	545.7	9156.5	280.7	3930.5625	NaN	NaN	NaN	NaN	80.7	2807.5	1057.0	7990
NaN	NaN	NaN	NaN	545.6	9115.25	280.6	3905.125	NaN	NaN	NaN	NaN	80.6	2723.75	1056.0	8465
NaN	NaN	NaN	NaN	545.5	9077.5	280.5	3918.0625	NaN	NaN	NaN	NaN	80.5	2725.0	1055.0	8190
NaN	NaN	NaN	NaN	545.4	9000.75	280.4	3918.125	NaN	NaN	NaN	NaN	80.4	2733.75	1054.0	7975
NaN	NaN	NaN	NaN	545.3	8959.375	280.3	3946.5	NaN	NaN	NaN	NaN	80.3	2711.25	1053.0	8115
NaN	NaN	NaN	NaN	545.2	8842.5	280.2	3940.9375	NaN	NaN	NaN	NaN	80.2	2763.75	1052.0	8100
NaN	NaN	NaN	NaN	545.1	8807.625	280.1	3922.8125	NaN	NaN	NaN	NaN	80.1	2773.75	1051.0	8320
NaN	NaN	NaN	NaN	545.0	8784.125	280.0	3911.25	NaN	NaN	NaN	NaN	80.0	2667.5	1050.0	7840
NaN	NaN	NaN	NaN	544.9	8685.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1049.0	7925
NaN	NaN	NaN	NaN	544.8	8647.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1048.0	8075
NaN	NaN	NaN	NaN	544.7	8612.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1047.0	7660
NaN	NaN	NaN	NaN	544.6	8469.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1046.0	8010
NaN	NaN	NaN	NaN	544.5	8453.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1045.0	8130
NaN	NaN	NaN	NaN	544.4	8364.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1044.0	7455
NaN	NaN	NaN	NaN	544.3	8349.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1043.0	7805
NaN	NaN	NaN	NaN	544.2	8232.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1042.0	7815
NaN	NaN	NaN	NaN	544.1	8245.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1041.0	7965
