path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
37,103.01,0.39084212585558653,533.21,1.0371674935387358,403.3,0.08182145470042279,156.3,0.04049655651667283,288.21,0.4794644926058953,956.3,15.762688287216179,1392.6,71.449773,288.21,3.4420025073941045,533.21,2.7614028064612643,403.3,2.912533945299577,103.01,4.9347421741444135,156.3,4.653365643483327,956.3,105.43727171278383
38,102.91,0.39416718578502774,533.11,1.0100715004816636,403.2,0.10640638042707318,156.2,0.019676626005947107,288.11,0.5449648867292973,956.2,17.53552370645899,1392.4,70.683552,288.11,3.441155613270703,533.11,2.7545426995183364,403.2,2.912371419572927,102.91,4.933274814214972,156.2,4.656387273994053,956.2,105.34463629354101
39,102.81,0.3571904431292561,533.01,0.9947830812113887,403.1,0.09209437636920592,156.1,0.007637747830597341,288.01,0.6186634564145908,956.1,18.83353219439448,1392.2,69.937172,288.01,3.4401936435854092,533.01,2.7478246187886115,403.1,2.912200023630794,102.81,4.931870356870744,156.1,4.6594227521694025,956.1,105.24345780560552
40,102.71,0.3849956568151489,532.91,0.9956522443626583,403.0,0.0917741381192303,156.0,0.039426867505025776,287.91,0.6828616251143713,956.0,18.703991351963396,1392.0,70.464557,287.91,3.4391176748856283,532.91,2.7411548556373417,403.0,2.91204126188077,102.71,4.930483043184851,156.0,4.662472732494974,956.0,105.1390286480366
41,102.61,0.40812417713807214,532.81,0.9741582957891302,402.9,0.11154739666689784,155.9,0.12224842290588622,287.81,0.689258854920217,955.9,20.015719346740397,1391.8,69.228885,287.81,3.4379833450797834,532.81,2.7345542042108697,402.9,2.911865703333102,102.61,4.929000522861928,155.9,4.665537877094113,955.9,105.03131065325961
42,102.51,0.3520656438331349,532.71,1.004770501657624,402.8,0.11402706960213571,155.8,0.07166731248296632,287.71,0.7718440463544827,955.8,21.471566718972184,1391.6,67.379698,287.71,3.4367754536455175,532.71,2.727922998342376,402.8,2.9116709303978645,102.51,4.927579556166865,155.8,4.668618887517034,955.8,104.91589328102782
43,102.41,0.38970898837777757,532.61,1.0278342707281123,402.7,0.10458142781201563,155.7,-0.002214487562368639,287.61,0.8097552519703513,955.7,20.59913715576819,1391.4,67.010705,287.61,3.4354679480296486,532.61,2.7211119292718875,402.7,2.911482172187984,102.41,4.926193011622223,155.7,4.6717165875623685,955.7,104.7988528442318
44,102.31,0.3784505522586237,532.51,1.0856117312368734,402.6,0.10477239511466685,155.6,0.0059106273039377655,287.51,0.8792025106604608,955.6,22.0366596774995,1391.2,67.552886,287.51,3.4340716893395395,532.51,2.7140299687631266,402.6,2.911301404885333,102.31,4.924757147741376,155.6,4.674831872696062,955.6,104.6802403225005
45,102.21,0.3504191746007619,532.41,1.0852463743672969,402.5,0.11843462404980887,155.5,0.05280208085020721,287.41,1.0401248155017258,955.5,24.962942278017636,1391.0,67.899781,287.41,3.432484984498274,532.41,2.706755625632703,402.5,2.911108675950191,102.21,4.9233947253992385,155.5,4.677965419149793,955.5,104.54948772198236
46,102.11,0.3925304153677196,532.31,1.0706217876107265,402.4,0.08843154351312732,155.4,0.06009599093413609,287.31,1.0439481152736945,955.4,28.313908144927353,1390.8,66.65163,287.31,3.430762084726305,532.31,2.6995315123892736,402.4,2.9109300564868725,102.11,4.92200598463228,155.4,4.681117909065864,955.4,104.40127185507265
